containerinstancearn,count
arn:aws:ecs:us-west-2:018923174646:container-instance/0210b5c9-0252-43c3-bd09-2fedeacd6de2,1
arn:aws:ecs:us-west-2:018923174646:container-instance/1450d8e7-55d3-499d-861a-c8efbc833222,1
arn:aws:ecs:us-west-2:018923174646:container-instance/149b49a4-e0d3-4450-9065-d58d3a8a5dbf,1
arn:aws:ecs:us-west-2:018923174646:container-instance/2092eb03-1385-4a9e-b8a2-061e2b47b495,2
arn:aws:ecs:us-west-2:018923174646:container-instance/21785a6f-ce10-4c20-bde8-91144d2a255c,1
arn:aws:ecs:us-west-2:018923174646:container-instance/24bd85fd-8970-473a-a864-24f799363120,1
arn:aws:ecs:us-west-2:018923174646:container-instance/2a7b785d-5075-4f3c-aea0-e28089614cb2,2
arn:aws:ecs:us-west-2:018923174646:container-instance/37761924-cee6-4c9f-881b-6316ffd7ff8f,1
arn:aws:ecs:us-west-2:018923174646:container-instance/4b991721-c273-4f98-9d2f-6162d3f3c405,2
arn:aws:ecs:us-west-2:018923174646:container-instance/4e7d001a-e2ef-46c6-9c86-6725c3bad081,3
arn:aws:ecs:us-west-2:018923174646:container-instance/5373d7ba-cd30-4d39-beaa-66a68ce14a6c,2
arn:aws:ecs:us-west-2:018923174646:container-instance/5597f51a-cfcc-447b-8ac7-0fdc6a4ab832,3
arn:aws:ecs:us-west-2:018923174646:container-instance/688b2010-9caa-49da-99df-141357aa305c,1
arn:aws:ecs:us-west-2:018923174646:container-instance/714d2693-bce6-4c37-906d-9835ccc2c7e4,1
arn:aws:ecs:us-west-2:018923174646:container-instance/7821ba59-f135-4ca8-b7c2-c831dfc5b65d,1
arn:aws:ecs:us-west-2:018923174646:container-instance/8344e5a2-dbbb-4b76-89ab-f89329ec9303,2
arn:aws:ecs:us-west-2:018923174646:container-instance/892878e2-d461-4152-b412-400e43d38d01,1
arn:aws:ecs:us-west-2:018923174646:container-instance/8d53d4d1-7e6f-46f7-ac01-cb17bb6e38f9,1
arn:aws:ecs:us-west-2:018923174646:container-instance/a24b5467-0c2d-48e5-bfae-a0cf87a9fe19,1
arn:aws:ecs:us-west-2:018923174646:container-instance/a62dbd6f-e358-4963-a678-5b07d0a0b137,4
arn:aws:ecs:us-west-2:018923174646:container-instance/b3339bdf-8742-48e2-87f7-e0b2c86eeef8,2
arn:aws:ecs:us-west-2:018923174646:container-instance/b6e7c377-ab06-45c9-9ad3-e48d2bd492f7,2
arn:aws:ecs:us-west-2:018923174646:container-instance/cb0bed51-aa76-4e48-ab91-40dab0867bf0,1
arn:aws:ecs:us-west-2:018923174646:container-instance/d9f8a41f-c028-4fb2-8382-f78deb5293eb,1
arn:aws:ecs:us-west-2:018923174646:container-instance/e57d4d0e-22a0-49de-bbbe-dbb43152f6e4,1
arn:aws:ecs:us-west-2:018923174646:container-instance/ea62e286-97d7-4b88-8e61-f880ca5e8e49,1
arn:aws:ecs:us-west-2:018923174646:container-instance/ede628f1-e6f5-4718-9df2-d93089dd0cb3,1
arn:aws:ecs:us-west-2:018923174646:container-instance/f2033075-1c0d-4839-81c8-a3481eb36519,1
arn:aws:ecs:us-west-2:018923174646:container-instance/fc421b7c-a4b1-42d1-ad85-2fd12f0ca6e2,2