granule,status,exit_code,job_stopped,logstream
S2A_MSIL1C_20200710T001611_N0209_R059_T58UFF_20200710T022148,FAILED,1,2020-07-31 20:15:31.786,SentinelTaskBatchJobDE3-581008467128b6c/default/ee6a643a-19d7-41c8-9c00-5b37602edeb1
S2A_MSIL1C_20200710T001611_N0209_R059_T59WNT_20200710T022148,FAILED,1,2020-07-31 20:17:14.466,SentinelTaskBatchJobDE3-581008467128b6c/default/f51c95c2-8419-4a1c-90a4-e37e2785a2ae
S2A_MSIL1C_20200710T001611_N0209_R059_T58VDM_20200710T022148,FAILED,1,2020-07-31 20:20:51.645,SentinelTaskBatchJobDE3-581008467128b6c/default/afec22da-446f-49aa-8c49-58a2b210f433
S2A_MSIL1C_20200710T003711_N0209_R059_T55MBM_20200710T022631,FAILED,1,2020-07-31 20:26:42.268,SentinelTaskBatchJobDE3-581008467128b6c/default/3d38106f-9037-4391-985d-596a4d009b09
S2A_MSIL1C_20200710T003711_N0209_R059_T54JYQ_20200710T022631,FAILED,1,2020-07-31 20:31:58.778,SentinelTaskBatchJobDE3-581008467128b6c/default/a788ae39-c4c0-427a-811d-f095ec218cb8
S2A_MSIL1C_20200710T003711_N0209_R059_T54KXC_20200710T022631,FAILED,1,2020-07-31 20:33:29.966,SentinelTaskBatchJobDE3-581008467128b6c/default/3ff84e85-efc7-4129-8116-8ff38c8fba8e
S2A_MSIL1C_20200710T003711_N0209_R059_T54LYH_20200710T022631,FAILED,1,2020-07-31 20:35:47.059,SentinelTaskBatchJobDE3-581008467128b6c/default/5749af5f-75ef-48f5-9d06-919a65f84b1b
S2A_MSIL1C_20200710T015701_N0209_R060_T53UMR_20200710T040520,FAILED,1,2020-07-31 20:37:15.152,SentinelTaskBatchJobDE3-581008467128b6c/default/edbf0440-6ab6-43c8-9b35-bce7a9448f69
S2A_MSIL1C_20200710T003711_N0209_R059_T55LCD_20200710T022631,FAILED,1,2020-07-31 20:37:16.517,SentinelTaskBatchJobDE3-581008467128b6c/default/a5dc5d76-6821-4d51-b535-eb6eb6ea238b
S2A_MSIL1C_20200710T015701_N0209_R060_T52SGA_20200710T040520,FAILED,1,2020-07-31 20:37:21.466,SentinelTaskBatchJobDE3-581008467128b6c/default/153ab671-b15c-4205-8490-ddb4f1f7d628
S2A_MSIL1C_20200710T003711_N0209_R059_T55MCM_20200710T022631,FAILED,1,2020-07-31 20:40:07.315,SentinelTaskBatchJobDE3-581008467128b6c/default/d158e3ba-e221-482c-92d1-079934a4f55b
S2A_MSIL1C_20200710T015701_N0209_R060_T56WMT_20200710T040520,FAILED,1,2020-07-31 20:42:29.087,SentinelTaskBatchJobDE3-581008467128b6c/default/8d8b4dcd-7210-4c26-9210-6a60e16280c4
S2A_MSIL1C_20200710T015701_N0209_R060_T55VDH_20200710T040520,FAILED,1,2020-07-31 20:43:55.578,SentinelTaskBatchJobDE3-581008467128b6c/default/43340505-6ff0-46de-9ba7-e2a516e26840
S2A_MSIL1C_20200710T015701_N0209_R060_T55VCF_20200710T040520,FAILED,1,2020-07-31 20:44:12.195,SentinelTaskBatchJobDE3-581008467128b6c/default/1d9d2c49-a0cc-4c90-bb39-7a4202ef5a13
S2A_MSIL1C_20200710T015701_N0209_R060_T54VXN_20200710T040520,FAILED,1,2020-07-31 20:49:00.637,SentinelTaskBatchJobDE3-581008467128b6c/default/bc4ebeeb-9408-49ce-a5f8-41bb2b43b4aa
S2A_MSIL1C_20200710T021351_N0209_R060_T50JPQ_20200710T052655,FAILED,1,2020-07-31 20:50:10.974,SentinelTaskBatchJobDE3-581008467128b6c/default/65e4ddb3-2ad5-4068-91ce-797f4695d44f
S2A_MSIL1C_20200710T021351_N0209_R060_T51NYB_20200710T035545,FAILED,1,2020-07-31 20:53:45.53,SentinelTaskBatchJobDE3-581008467128b6c/default/629d1302-7be2-4165-bace-e172949992d1
S2A_MSIL1C_20200710T015701_N0209_R060_T57WVU_20200710T040520,FAILED,1,2020-07-31 20:54:39.049,SentinelTaskBatchJobDE3-581008467128b6c/default/97373024-540e-4999-8c1b-95bbcf87acac
S2A_MSIL1C_20200710T015701_N0209_R060_T56WMV_20200710T040520,FAILED,1,2020-07-31 20:54:29.496,SentinelTaskBatchJobDE3-581008467128b6c/default/30d126e0-1692-4aae-baa1-e4c9d228d358
"S2A_MSIL1C_20200710T021351_N0209_R060_T50KNA_20200710T034508,S2A_MSIL1C_20200710T021351_N0209_R060_T50KNA_20200710T052655",FAILED,1,2020-07-31 20:56:19.073,SentinelTaskBatchJobDE3-581008467128b6c/default/104215ef-d2b7-4e8d-8fac-dfb64fe069d4
S2A_MSIL1C_20200710T021351_N0209_R060_T50KNC_20200710T034508,FAILED,1,2020-07-31 20:56:27.03,SentinelTaskBatchJobDE3-581008467128b6c/default/b0b47511-d884-4f23-89d8-e29259e5a661
S2A_MSIL1C_20200710T033541_N0209_R061_T47MNU_20200710T071106,FAILED,1,2020-07-31 20:57:02.035,SentinelTaskBatchJobDE3-581008467128b6c/default/317a3a78-85ca-49f8-93d8-11c85bae624f
S2A_MSIL1C_20200710T033541_N0209_R061_T47NKD_20200710T071106,FAILED,1,2020-07-31 20:57:38.983,SentinelTaskBatchJobDE3-581008467128b6c/default/5b1f0631-6c02-44c9-8ac4-0d05b56a70fc
"S2A_MSIL1C_20200710T021351_N0209_R060_T51MWS_20200710T034508,S2A_MSIL1C_20200710T021351_N0209_R060_T51MWS_20200710T035545",FAILED,1,2020-07-31 20:59:45.171,SentinelTaskBatchJobDE3-581008467128b6c/default/41fabe8b-977c-4696-85c0-8d2176992ee1
S2A_MSIL1C_20200710T033541_N0209_R061_T47NNA_20200710T071106,FAILED,1,2020-07-31 21:03:37.173,SentinelTaskBatchJobDE3-581008467128b6c/default/271ee5ff-d890-434e-8f77-45fde3677269
S2A_MSIL1C_20200710T021351_N0209_R060_T51NXB_20200710T035545,FAILED,1,2020-07-31 21:05:57.299,SentinelTaskBatchJobDE3-581008467128b6c/default/652378e2-e339-447a-b102-c5d83b8f9232
S2A_MSIL1C_20200710T033541_N0209_R061_T48QWM_20200710T063507,FAILED,1,2020-07-31 21:06:37.557,SentinelTaskBatchJobDE3-581008467128b6c/default/0f6e6d6d-f1ed-4a3a-ad3c-7cfe00c3052e
S2A_MSIL1C_20200710T033541_N0209_R061_T48QVJ_20200710T063507,FAILED,1,2020-07-31 21:08:20.96,SentinelTaskBatchJobDE3-581008467128b6c/default/d56ff4f2-e6ad-43b4-96f9-ba3bc349f78b
S2A_MSIL1C_20200710T033541_N0209_R061_T48RXR_20200710T063507,FAILED,1,2020-07-31 21:08:26.886,SentinelTaskBatchJobDE3-581008467128b6c/default/7bbd2d3f-5ab8-4788-9462-80baab5a106e
S2A_MSIL1C_20200710T033541_N0209_R061_T48SUA_20200710T063507,FAILED,1,2020-07-31 21:09:54.149,SentinelTaskBatchJobDE3-581008467128b6c/default/62517b4b-1fde-4e3c-a8c4-74149f8c375c
S2A_MSIL1C_20200710T033541_N0209_R061_T47PQP_20200710T063507,FAILED,1,2020-07-31 21:13:43.896,SentinelTaskBatchJobDE3-581008467128b6c/default/cb3ae86d-fb58-4008-bf1e-4a10e63e1ac8
S2A_MSIL1C_20200710T033541_N0209_R061_T48SVC_20200710T063507,FAILED,1,2020-07-31 21:14:31.789,SentinelTaskBatchJobDE3-581008467128b6c/default/b77eea66-14eb-4c0d-b4f0-e155d275c637
S2A_MSIL1C_20200710T033541_N0209_R061_T48QTJ_20200710T063507,FAILED,1,2020-07-31 21:14:40.448,SentinelTaskBatchJobDE3-581008467128b6c/default/8e6306a2-7d42-491f-a126-b74414b5f640
S2A_MSIL1C_20200710T033541_N0209_R061_T49TFM_20200710T063507,FAILED,1,2020-07-31 21:16:07.011,SentinelTaskBatchJobDE3-581008467128b6c/default/4c3bdc47-f93f-4cdf-b4b6-e4ed4041c3c1
S2A_MSIL1C_20200710T033541_N0209_R061_T48RVV_20200710T063507,FAILED,1,2020-07-31 21:17:18.85,SentinelTaskBatchJobDE3-581008467128b6c/default/d39d2bc8-7c9b-4513-98e3-c842e7079b51
S2A_MSIL1C_20200710T033541_N0209_R061_T48TXM_20200710T063507,FAILED,1,2020-07-31 21:17:40.277,SentinelTaskBatchJobDE3-581008467128b6c/default/88277645-05ea-4546-baba-8e592cdd5451
S2A_MSIL1C_20200710T033541_N0209_R061_T49SCC_20200710T063507,FAILED,1,2020-07-31 21:17:42.596,SentinelTaskBatchJobDE3-581008467128b6c/default/8fea17e2-09f9-4ab2-811b-4137ba9f5127
S2A_MSIL1C_20200710T033541_N0209_R061_T50ULB_20200710T063507,FAILED,1,2020-07-31 21:20:34.197,SentinelTaskBatchJobDE3-581008467128b6c/default/81b87cdc-11bb-4725-9118-e2585a954f78
"S2A_MSIL1C_20200710T033541_N0209_R061_T51WVS_20200710T052631,S2A_MSIL1C_20200710T033541_N0209_R061_T51WVS_20200710T063507",FAILED,1,2020-07-31 21:22:45.432,SentinelTaskBatchJobDE3-581008467128b6c/default/33aec064-a4ef-4727-8c81-f791d050555e
S2A_MSIL1C_20200710T033541_N0209_R061_T49TEL_20200710T063507,FAILED,1,2020-07-31 21:24:29.582,SentinelTaskBatchJobDE3-581008467128b6c/default/dd7f7a32-3a0e-4d14-a4af-51712b55fc84
S2A_MSIL1C_20200710T033541_N0209_R061_T52WFC_20200710T052631,FAILED,1,2020-07-31 21:25:53.717,SentinelTaskBatchJobDE3-581008467128b6c/default/e45198e7-efe0-4b3d-9752-0009fbe06c87
S2A_MSIL1C_20200710T033541_N0209_R061_T51WWV_20200710T052631,FAILED,1,2020-07-31 21:28:33.123,SentinelTaskBatchJobDE3-581008467128b6c/default/be1e6212-d282-4072-bdf7-fb388c3fa965
S2A_MSIL1C_20200710T033541_N0209_R061_T50VNR_20200710T063507,FAILED,1,2020-07-31 21:35:38.443,SentinelTaskBatchJobDE3-581008467128b6c/default/6b7b70f1-ce3c-458a-b043-d19ace084f5c
S2A_MSIL1C_20200710T033541_N0209_R061_T50VNL_20200710T063507,FAILED,1,2020-07-31 21:35:59.232,SentinelTaskBatchJobDE3-581008467128b6c/default/44fef047-294f-474e-96ab-427fa7ae8c02